0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2015-04-22,5974.907,5910.547,5835.7,5787.258,5888.277,6596.691,6809.807,7467.835,7771.621,8039.087,8164.163,6999.117,6733.33,7222.681,7559.185,7995.073,9052.89,9221.1,8850.869,7870.513,7502.256,6951.668,6374.511,6033.906
2015-04-23,6109.989,6035.621,6052.684,6051.226,6157.947,6892.302,7076.383,7506.236,7758.542,7942.543,8173.617,6975.355,6790.03,7459.395,7573.783,7883.402,8851.279,9376.201,9314.127,8127.155,7994.348,7469.243,6696.15,6177.232
2015-04-24,6036.436,5654.695,5752.466,5567.532,5895.052,6927.173,7111.261,7534.833,7891.645,7882.256,8244.881,7433.295,6868.053,7429.931,7921.259,8298.751,9080.816,9681.857,9479.665,8388.789,8170.479,7560.49,6733.297,6542.541
2015-04-27,5696.313,5584.642,5666.658,5621.238,5762.559,6260.452,6915.385,7521.56,7178.93,8357.246,8260.333,7075.235,7064.651,7645.813,7987.46,8395.229,8613.141,9150.151,8906.62,7991.603,7599.182,7245.673,6729.721,6221.586
2015-04-28,5939.003,5993.195,5688.693,5689.934,5790.732,6065.945,6563.515,6472.3,7237.946,7342.692,7546.545,6768.036,6760.861,6999.246,7307.083,7396.155,7708.079,8102.701,8374.335,7788.01,7394.441,7108.226,6537.533,6072.525
2015-04-29,5955.602,5856.496,5756.236,5632.818,5728.24,6120.584,6489.338,6948.127,7143.574,7680.202,7515.217,6845.575,7009.2,7142.033,7300.788,7603.631,8030.539,8234.62,8448.851,7745.594,7568.06,7380.954,6860.08,6365.727
2015-04-30,6168.406,5941.304,5868.451,5829.181,5907.39,6204.472,6203.235,6461.244,6611.384,6994.998,6755.814,6396.091,6346.939,6415.511,6493.412,6716.067,7276.038,7389.184,7673.865,7274.664,6926.427,6749.338,6156.947,5933.484
2015-05-01,5420.384,5306.916,5245.183,5202.751,5307.174,5687.856,5860.309,5886.297,6167.229,6653.861,6786.036,6197.606,6245.884,6324.461,6423.27,6645.302,6938.2,7440.543,7732.085,7357.17,7155.983,6951.128,6668.176,6072.506
2015-05-04,7165.367,6902.42,6780.301,6708.497,6857.14,7430.434,7615.168,8536.35,9149.943,9639.053,9641.438,9077.614,8967.369,9316.642,9638.062,9766.372,9880.167,9770.764,9904.712,9424.074,9259.127,9000.316,8434.865,7895.813
2015-05-05,7508.83,7219.058,7055.729,7102.379,7206.071,7587.79,7861.026,8636.488,9117.556,9615.804,9678.285,8955.031,9015.678,9302.148,9244.897,9531.844,9782.516,9686.611,9735.533,9109.961,9154.54,8814.785,8354.648,7905.751
2015-05-06,7557.132,7313.126,7269.557,7142.243,7176.622,7540.326,7863.819,8865.927,9360.927,9989.403,9948.378,9374.621,9392.71,9603.032,9835.039,9896.001,9872.097,9784.402,9967.819,9704.299,9695.234,9469.781,9137.741,8554.424
2015-05-07,8036.944,7750.468,7735.101,7691.793,7598.691,7867.108,8123.966,9095.061,9651.24,10122.051,10221.239,9446.453,9436.645,9822.622,10007.831,9937.02,10039.986,9840.813,9833.503,9517.495,9579.776,9422.208,9047.983,8505.168
2015-05-08,8172.581,7948.517,7781.972,7693.025,7842.509,7825.737,8101.639,9036.946,9704.642,10084.292,10322.136,9646.74,9690.219,10043.261,10189.03,10154.151,10330.934,9956.884,9999.682,9611.381,9764.422,9808.596,9279.356,8710.458
2015-05-11,6843.24,6454.268,6307.634,6296.702,6372.096,6824.911,7625.175,8652.381,9304.727,9774.356,9860.929,9175.008,9066.159,9448.572,9576.501,9663.917,9794.592,9564.212,9752.967,9351.327,9273.706,8932.267,8298.386,7711.436
